customer_id,full_name,date_of_birth,city,state,occupation,kyc_status,risk_category,created_timestamp
CUST00001,Fiyaz Sahni,1990-07-25,Bahraich,Goa,Business,REJECTED,HIGH,2026-05-22 13:44:06.473468
CUST00002,Idika Seshadri,1964-01-14,Nanded,Punjab,Engineer,VERIFIED,MEDIUM,2026-05-22 13:44:06.473517
CUST00003,Yutika Sridhar,1990-06-08,Gwalior,Madhya Pradesh,Teacher,REJECTED,MEDIUM,2026-05-22 13:44:06.473542
CUST00004,Tejas Johal,1976-10-14,Jalgaon,Arunachal Pradesh,Lawyer,REJECTED,LOW,2026-05-22 13:44:06.473562
CUST00005,Faris Bhardwaj,1971-07-18,New Delhi,Sikkim,Doctor,PENDING,LOW,2026-05-22 13:44:06.473583
CUST00006,Warhi Walla,1961-07-04,Korba,Madhya Pradesh,Teacher,PENDING,MEDIUM,2026-05-22 13:44:06.473603
CUST00007,Inaya Ramaswamy,1990-04-17,Machilipatnam,West Bengal,Teacher,PENDING,HIGH,2026-05-22 13:44:06.473623
CUST00008,Leela Bali,1981-11-25,Chittoor,Uttarakhand,Lawyer,REJECTED,LOW,2026-05-22 13:44:06.473642
CUST00009,Abeer Divan,1970-01-17,Panihati,Uttarakhand,Lawyer,PENDING,LOW,2026-05-22 13:44:06.473661
CUST00010,Omisha Pandey,2000-11-22,Erode,Jharkhand,Doctor,VERIFIED,LOW,2026-05-22 13:44:06.473684
CUST00011,Bina Ganguly,1967-01-04,Bhilwara,Kerala,Doctor,PENDING,HIGH,2026-05-22 13:44:06.473706
CUST00012,Nimrat Bobal,1987-07-18,Jaipur,Sikkim,Lawyer,PENDING,LOW,2026-05-22 13:44:06.473731
CUST00013,Varenya Desai,1963-04-02,Burhanpur,Arunachal Pradesh,Government Employee,VERIFIED,HIGH,2026-05-22 13:44:06.473751
CUST00014,Ojasvi Radhakrishnan,2007-11-30,Solapur,Odisha,Engineer,VERIFIED,MEDIUM,2026-05-22 13:44:06.473770
CUST00015,Upma Shukla,1955-10-26,Patna,Karnataka,Business,PENDING,MEDIUM,2026-05-22 13:44:06.473792
CUST00016,Nisha Chowdhury,1957-01-13,Katihar,Uttarakhand,Engineer,VERIFIED,HIGH,2026-05-22 13:44:06.473814
CUST00017,Daksh Mangat,1995-03-12,Surendranagar Dudhrej,Punjab,Government Employee,VERIFIED,HIGH,2026-05-22 13:44:06.473837
CUST00018,Gauri Kapur,1954-03-04,Bahraich,Telangana,Business,REJECTED,MEDIUM,2026-05-22 13:44:06.473857
CUST00019,Unnati Korpal,1958-03-16,Sonipat,Punjab,Business,PENDING,MEDIUM,2026-05-22 13:44:06.473875
CUST00020,Zansi Jaggi,1953-04-07,Shivpuri,Goa,Doctor,VERIFIED,MEDIUM,2026-05-22 13:44:06.473900
CUST00021,Chaitanya Ganesan,1973-01-24,Nagpur,Uttarakhand,Government Employee,VERIFIED,LOW,2026-05-22 13:44:06.473921
CUST00022,Radha Pillay,2001-11-16,Nashik,Andhra Pradesh,Lawyer,VERIFIED,HIGH,2026-05-22 13:44:06.473942
CUST00023,Banjeet Kaul,1998-09-19,Bokaro,Sikkim,Doctor,VERIFIED,MEDIUM,2026-05-22 13:44:06.473960
CUST00024,Leela Dixit,1994-05-30,Pimpri-Chinchwad,Arunachal Pradesh,Doctor,VERIFIED,MEDIUM,2026-05-22 13:44:06.473977
